start (in ms),speaker,text,clarification turn,clarification type,clarification turn,clarification type,turn agreement,type agreement,clarification text
412514,Participant,it was not can you bring me the book about statistics,f,Confirmation after action,f,Confirmation after action,f,Confirmation after action,it was not can you bring me the book about statistics
419344,TEMI,"oh sorry (1,5) you want me to bring you the book about statistics Is that correct",i,Confirmation before action,i,Confirmation before action,i,Confirmation before action,you want me to bring you the book about statistics Is that correct
427504,Participant,yes,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,yes
432984,TEMI,on my way ((temi goes to the kitchen)) (49.0),f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,on my way
488340,TEMI,i got you the book is that what you wanted,i,Confirmation after action,i,Confirmation after action,i,Confirmation after action,i got you the book is that what you wanted
491132,Participant,yes thank you,f,Confirmation after action,f,Confirmation after action,f,Confirmation after action,yes thank you
495044,TEMI,youre welcome,f,Confirmation after action,,,,,
497814,Facilitator,you can also get it,,,,,,,
499220,TEMI,is there anything else i can do,,,,,,,
501374,Participant,can you bring it here bring it to me,,,,,,,
509341,TEMI,sure ((temi comes to participant)) (11.0),,,,,,,
518027,Participant,thank [you],,,,,,,
518854,TEMI,[how is] this,i,Confirmation after action,i,Confirmation after action,i,Confirmation after action,[how is] this
520006,Participant,great,f,Confirmation after action,f,Confirmation after action,f,Confirmation after action,great
522594,TEMI,youre welcome (8.0),f,Confirmation after action,,,,,
536434,Participant,im waiting for him to say something (3.2),,,,,,,
544194,TEMI,is there anything else I can do,,,,,,,
546634,Participant,uh uh no there is not (28.0),,,,,,,
583714,TEMI,i am going home,,,,,,,
585754,Facilitator,good night temi,,,,,,,
