start (in ms),speaker,text,clarification turn,clarification type,clarification turn,clarification type,turn agreement,type agreement,clarification text
335918,Participant,no can you also bring it with you,f,Request more information,f,Request more information,f,Request more information,no can you also bring it with you
344494,TEMI,sure i will get you the book ((temi goes to the kitchen)) (64.0),f,Request more information,f,Request more information,f,Request more information,i will get you the book
411954,TEMI,there are two books in the kitchen one about statistics and one about robots which one do you want,i,Request more information,i,Request more information,i,Request more information,there are two books in the kitchen one about statistics and one about robots which one do you want
421480,Participant,uh get me the one from statistics please,f,Request more information,f,Request more information,f,Request more information,uh get me the one from statistics
426724,TEMI,sorry i didnt understand could you repeat that please,i,Acoustic misunderstanding,i,Acoustic misunderstanding,i,Acoustic issue,i didnt understand could you repeat that
430380,Participant,can you get me the one from statistics,f,Acoustic misunderstanding,f,Acoustic misunderstanding,f,Acoustic issue,can you get me the one from statistics
434324,TEMI,you want me to bring you the book about statistics is that correct,i,Repeating the request/information,i,Repeating the request/information,i,Confirmation before action ,you want me to bring you the book about statistics is that correct
437932,Participant,yes,f,Repeating the request/information,f,Repeating the request/information,f,Confirmation before action ,yes
440404,TEMI,sure on my way ((temi goes to the kitchen)) (84.0),f,Repeating the request/information,f,Repeating the request/information,f,Confirmation before action ,sure on my way
525044,TEMI,i got you a book is this the one you wanted,i,Request more information,i,Request more information,i,Confirmation after action,i got you a book is this the one you wanted
528964,Participant,yes thank you,f,Request more information,f,Request more information,f,Confirmation after action,yes
532444,TEMI,youre welcome (4.0) is there anything else i can do,,,,,,,
539920,Participant,uh can you bring it to me so turn around uh one hundred eighty degrees,,,,,,,
549344,TEMI,sure in which direction,i,Request more information,i,Request more information,i,Request more information,in which direction
552200,Participant,uh can you turn one hundred eighty degrees ((temi turns around)) (9.0),f,Request more information,f,Request more information,f,Request more information,can you turn one hundred eighty degrees
566864,TEMI,how is this,i,Request more information,i,Request more information,i,Confirmation after action,how is this
568384,Participant,yes perfect,f,Request more information,f,Request more information,f,Confirmation after action,yes
571644,TEMI,no problem is there anything else i can do,,,,,,,
580860,Participant,uh no thats it thank you you can go back,,,,,,,
584302,TEMI,okay,,,,,,,
