start (in ms),speaker,text,clarification turn,clarification type,clarification turn,clarification type,turn agreement,type agreement,clarification text
427494,Participant,yes,f,Repeating the request/information,f,Repeating the request/information,f,Confirmation before action ,yes
429334,TEMI,sorry i didn't understand could you repeat that please,i,Acoustic misunderstanding,i,Acoustic misunderstanding,i,Acoustic issue,sorry i didn't understand could you repeat that please
433182,Participant,yes i want you to get both,f,Acoustic misunderstanding,f,Acoustic misunderstanding,f,Acoustic issue,yes i want you to get both
437374,TEMI,okay i get both ((temi goes to the kitchen)) (56.3),f,Acoustic misunderstanding,f,Acoustic misunderstanding,f,Acoustic issue,okay i get both
493674,TEMI,here is the book that you requested was this what you wanted,i,Request more information,i,Request more information,i,Confirmation after action,here is the book that you requested was this what you wanted
500354,Participant,yeah thank you (2.9) oh no this it's the other one,f,Request more information,f,Request more information,f,Confirmation after action,yeah thank you
513354,TEMI,what book are you missing,,,,,,,
519554,Participant,uh what the the other book (3.3) you're mean,,,,,,,
523794,TEMI,the robot book or the statistics book,i,Semantic mismatch,i,Request more information,i,Request more information,the robot book or the statistics book
528274,Participant,the statistic statistics book book that's the one i want,f,Semantic mismatch,f,Request more information,f,Request more information,the statistic statistics book book that's the one i want
537114,TEMI,are you missing the statistics book,i,Repeating the request/information,i,Semantic mismatch,i,Paraphrasing,are you missing the statistics book
539226,Participant,yes,f,Repeating the request/information,f,Semantic mismatch,f,Paraphrasing,yes
546354,TEMI,do you want me to get the statistics book,,,,,,,
548762,Participant,yes please,,,,,,,
556134,TEMI,okay i get the statistics book from the kitchen ((temi goes to the kitchen)) (59.8),,,,,,,
615934,TEMI,here is the statistics book is that what you wanted,i,Request more information,i,Request more information,i,Confirmation after action,here is the statistics book is that what you wanted
625774,Participant,yeah that's the book thank you (2.0) that's all for today,f,Request more information,f,Request more information,f,Confirmation after action,yeah that's the book thank you
634554,TEMI,you're welcome (4.9) is there anything else i can help you with,,,,,,,
642626,Participant,no thank you you can go back,,,,,,,
