start (in ms),speaker,text,clarification turn,clarification type,clarification turn,clarification type,turn agreement,type agreement,clarification text
334678,TEMI,sorry i didn't understand could you repeat that please,i,Acoustic issue,i,Acoustic issue,i,Acoustic issue,sorry i didn't understand could you repeat that please
339680,Participant,um can you get a book from the kitchen,f,Acoustic issue,f,Acoustic issue,f,Acoustic issue,can you get a book from the kitchen
348434,TEMI,do you want me to get the book or just check if there is a book in the kitchen,i,Acoustic issue,i,Request more information,i,Acoustic issue,do you want me to get the book or just check if there is a book in the kitchen
352034,Participant,i want you to get the book,f,Acoustic issue,f,Request more information,f,Acoustic issue,i want you to get the book
361074,TEMI,so you want me to get the book from the kitchen,i,Confirmation before action,i,Confirmation before action,i,Confirmation before action,so you want me to get the book from the kitchen
363682,Participant,exactly,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,exactly
368544,TEMI,okay on my way ((temi goes to the kitchen)) (55.9) ,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,okay on my way
424444,TEMI,there are two books in the kitchen one about statistics and one about robots which one do you want,i,Request more information,i,Request more information,i,Request more information,there are two books in the kitchen one about statistics and one about robots which one do you want
434484,Participant,uh can uh you get the one about robots,f,Request more information,f,Request more information,f,Request more information,can uh you get the one about robots
439244,TEMI,you want me to bring you the book about robots [is] that correct,i,Confirmation before action,i,Confirmation before action,i,Confirmation before action,you want me to bring you the book about robots [is] that correct
442532,Participant,[yes] yes exactly,f,Confirmation before action,f,Confirmation before action,f,Confirmation before action,[yes] yes exactly
447734,TEMI,sure on my way ((temi goes to the kitchen)) (59.4),f,Confirmation before action,i,Confirmation before action,i,Confirmation before action,sure on my way
507134,TEMI,i got you the book is this what you wanted,i,Confirmation after action,i,Confirmation after action,i,Confirmation after action,i got you the book is this what you wanted
511404,Participant,yes thank you,f,Confirmation after action,f,Confirmation after action,f,Confirmation after action,yes
514724,TEMI,you're welcome (4.3) is there anything else i can do,f,Confirmation after action,,,,,
521964,Participant,no thank you,,,,,,,
525814,TEMI,no problem,,,,,,,
